iter	Passed	Remaining
400	48818	12052
401	48939	11930
402	49069	11810
403	49188	11688
404	49312	11567
405	49433	11445
406	49549	11322
407	49683	11203
408	49791	11078
409	49915	10957
410	50042	10836
411	50154	10712
412	50269	10589
413	50383	10466
414	50510	10345
415	50625	10222
416	50730	10097
417	50829	9971
418	50931	9845
419	51040	9722
420	51146	9597
421	51242	9471
422	51353	9348
423	51457	9223
424	51559	9098
425	51672	8976
426	51777	8851
427	51873	8726
428	51975	8601
429	52072	8476
430	52168	8351
431	52270	8227
432	52379	8104
433	52481	7981
434	52586	7857
435	52701	7736
436	52804	7612
437	52904	7488
438	53016	7366
439	53121	7243
440	53221	7120
441	53334	6998
442	53457	6878
443	53585	6758
444	53734	6641
445	53885	6524
446	54030	6406
447	54197	6290
448	54382	6177
449	54535	6059
450	54682	5941
451	54876	5827
452	55042	5710
453	55212	5594
454	55364	5475
455	55493	5354
456	55633	5234
457	55754	5112
458	55891	4992
459	56065	4875
460	56184	4753
461	56342	4634
462	56541	4518
463	56760	4403
464	56979	4288
465	57124	4167
466	57244	4045
467	57364	3922
468	57544	3803
469	57747	3686
470	57964	3568
471	58183	3451
472	58373	3332
473	58567	3212
474	58771	3093
475	58963	2972
476	59186	2853
477	59356	2731
478	59539	2610
479	59686	2486
480	59823	2363
481	59973	2239
482	60173	2117
483	60354	1995
484	60545	1872
485	60741	1749
486	60934	1626
487	61123	1503
488	61304	1379
489	61483	1254
490	61654	1130
491	61784	1004
492	61912	879
493	62117	754
494	62317	629
495	62453	503
496	62585	377
497	62711	251
498	62825	125
499	63021	0
